"","EIN","TAXYR","transition_no","CEO1","CEO2","OBJECT_ID","NAME","FORMTYPE","URL","F9_07_COMP_DTK_NAME_PERS","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_POS_FORMER_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_KEY_EMPL_X","salutation","first_name","middle_name","last_name","suffix","status","gender","gender_confidence","title.standard","title.mult.x","title.order","title.count","num.paid","num.fte","num.fte.30h","unique_ceos"
"1",20240383,2013,1,"MARYELLEN BURKE",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201443219349303449","PORTSMOUTH HISTORICAL SOCIETY","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201443219349303449_public.xml","MARYELLEN BURKE","EXECUTIVE DIRECTOR",40,NA,"X",70000,0,5771,NA,NA,NA,NA,NA,NA,"MARYELLEN","","BURKE",NA,NA,"F",100,"CEO",0,1,1,4,4,4,3
"2",20240383,2014,1,"MARYELLEN BURKE",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201502239349301300","PORTSMOUTH HISTORICAL SOCIETY","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201502239349301300_public.xml","MARYELLEN BURKE","EXECUTIVE DIRECTOR",40,NA,"X",63219,0,12435,NA,NA,NA,NA,NA,NA,"MARYELLEN","","BURKE",NA,NA,"F",100,"CEO",0,1,1,4,4,4,3
"3",20240383,2015,1,"KATHLEEN SOLDATI","MARYELLEN BURKE","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201613149349301766","PORTSMOUTH HISTORICAL SOCIETY","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201613149349301766_public.xml","KATHLEEN SOLDATI","EXECUTIVE DIRECTOR",40,NA,"X",31154,0,0,NA,NA,NA,NA,NA,NA,"KATHLEEN","","SOLDATI",NA,NA,"F",100,"CEO",0,1,1,4,4,4,3
"4",20240383,2016,1,"KATHLEEN SOLDATI",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201722989349301367","PORTSMOUTH HISTORICAL SOCIETY","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201722989349301367_public.xml","KATHLEEN SOLDATI","EXECUTIVE DIRECTOR",40,NA,"X",64615,0,0,NA,NA,NA,NA,NA,NA,"KATHLEEN","","SOLDATI",NA,NA,"F",100,"CEO",0,1,1,4,4,4,3
"5",20240383,2017,1,"KATHLEEN SOLDATI",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201833189349301488","PORTSMOUTH HISTORICAL SOCIETY","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201833189349301488_public.xml","KATHLEEN SOLDATI","EXECUTIVE DIRECTOR",40,NA,"X",65000,0,0,NA,NA,NA,NA,NA,NA,"KATHLEEN","","SOLDATI",NA,NA,"F",100,"CEO",0,1,1,4,4,4,3
"6",30179298,2012,1,"RONALD LIEBOWITZ",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421329349302382","President and Fellows of Middlebury College","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421329349302382_public.xml","Ronald Liebowitz","President",40,"X","X",470047,0,91240,NA,NA,NA,NA,NA,NA,"RONALD","","LIEBOWITZ",NA,NA,"M",99.7,"BOARD PRESIDENT",0,1,1,70,70,70,4
"7",30179298,2013,1,"RONALD LIEBOWITZ",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201511329349300641","President and Fellows of Middlebury College","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201511329349300641_public.xml","Ronald Liebowitz","President",40,"X","X",400650,0,93183,NA,NA,NA,NA,NA,NA,"RONALD","","LIEBOWITZ",NA,NA,"M",99.7,"BOARD PRESIDENT",0,1,1,70,70,70,4
"8",30179298,2014,1,"RONALD LIEBOWITZ",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201601329349301715","President and Fellows of Middlebury College","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201601329349301715_public.xml","Ronald Liebowitz","President",40,"X","X",489582,0,95617,NA,NA,NA,NA,NA,NA,"RONALD","","LIEBOWITZ",NA,NA,"M",99.7,"BOARD PRESIDENT",0,1,1,70,70,70,4
"9",30179298,2015,1,"LAURIE PATTON",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741299349302179","President and Fellows of Middlebury","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741299349302179_public.xml","Laurie L Patton","President",40,"X","X",258866,0,66268,NA,NA,NA,NA,NA,NA,"LAURIE","L","PATTON",NA,NA,"F",100,"BOARD PRESIDENT",0,1,1,70,70,70,4
"10",30179298,2016,1,"LAURIE PATTON",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201801349349303665","President and Fellows of Middlebury","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201801349349303665_public.xml","Laurie L Patton","President",40,"X","X",562875,0,95959,NA,NA,NA,NA,NA,NA,"LAURIE","L","PATTON",NA,NA,"F",100,"BOARD PRESIDENT",0,1,1,70,70,70,4
