"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_10_INFO_SCHED_O_X","F9_10_ASSET_CASH_SAVING_BOY","F9_10_ASSET_CASH_SAVING_EOY","F9_10_ASSET_CASH_BOY","F9_10_ASSET_CASH_EOY","F9_10_ASSET_SAVING_BOY","F9_10_ASSET_SAVING_EOY","F9_10_ASSET_PLEDGE_NET_BOY","F9_10_ASSET_PLEDGE_NET_EOY","F9_10_ASSET_ACC_NET_BOY","F9_10_ASSET_ACC_NET_EOY","F9_10_ASSET_LOAN_OFF_BOY","F9_10_ASSET_LOAN_OFF_EOY","F9_10_ASSET_LOAN_DSQ_PERS_BOY","F9_10_ASSET_LOAN_DSQ_PERS_EOY","F9_10_ASSET_NOTE_LOAN_NET_BOY","F9_10_ASSET_NOTE_LOAN_NET_EOY","F9_10_ASSET_INV_SALE_BOY","F9_10_ASSET_INV_SALE_EOY","F9_10_ASSET_EXP_PREPAID_BOY","F9_10_ASSET_EXP_PREPAID_EOY","F9_10_ASSET_LAND_BLDG","F9_10_ASSET_LAND_BLDG_BOY","F9_10_ASSET_LAND_BLDG_EOY","F9_10_ASSET_LAND_BLDG_DEPREC","F9_10_ASSET_LAND_BLDG_NET_BOY","F9_10_ASSET_LAND_BLDG_NET_EOY","F9_10_ASSET_INVEST_SEC_BOY","F9_10_ASSET_INVEST_SEC_EOY","F9_10_ASSET_INVEST_SEC_OTH_BOY","F9_10_ASSET_INVEST_SEC_OTH_EOY","F9_10_ASSET_INVEST_PROG_RLTD_BOY","F9_10_ASSET_INVEST_PROG_RLTD_EOY","F9_10_ASSET_INTANGIBLE_BOY","F9_10_ASSET_INTANGIBLE_EOY","F9_10_ASSET_OTH_BOY","F9_10_ASSET_OTH_BOY_V2","F9_10_ASSET_OTH_EOY","F9_10_ASSET_OTH_EOY_V2","F9_10_ASSET_TOT_BOY","F9_10_ASSET_TOT_EOY","F9_10_LIAB_ACC_PAYABLE_BOY","F9_10_LIAB_ACC_PAYABLE_EOY","F9_10_LIAB_GRANT_PAYABLE_BOY","F9_10_LIAB_GRANT_PAYABLE_EOY","F9_10_LIAB_REV_DEFERRED_BOY","F9_10_LIAB_REV_DEFERRED_EOY","F9_10_LIAB_TAX_EXEMPT_BOND_BOY","F9_10_LIAB_TAX_EXEMPT_BOND_EOY","F9_10_LIAB_ESCROW_ACC_BOY","F9_10_LIAB_ESCROW_ACC_EOY","F9_10_LIAB_LOAN_OFF_BOY","F9_10_LIAB_LOAN_OFF_EOY","F9_10_LIAB_MTG_NOTE_BOY","F9_10_LIAB_MTG_NOTE_EOY","F9_10_LIAB_NOTE_UNSEC_BOY","F9_10_LIAB_NOTE_UNSEC_EOY","F9_10_LIAB_OTH_BOY","F9_10_LIAB_OTH_EOY","F9_10_LIAB_TOT_BOY","F9_10_NAFB_FOLLOW_SFAS117_X","F9_10_LIAB_TOT_EOY","F9_10_NAFB_UNRESTRICT_BOY","F9_10_NAFB_UNRESTRICT_EOY","F9_10_NAFB_RESTRICT_TEMP_BOY","F9_10_NAFB_RESTRICT_TEMP_EOY","F9_10_NAFB_RESTRICT_PERM_BOY","F9_10_NAFB_NO_FOLLOW_SFAS117_X","F9_10_NAFB_RESTRICT_PERM_EOY","F9_10_NAFB_CAP_STCK_BOY","F9_10_NAFB_CAP_STCK_EOY","F9_10_NAFB_CAP_SURPLUS_BOY","F9_10_NAFB_CAP_SURPLUS_EOY","F9_10_NAFB_EARNING_RETAINED_BOY","F9_10_NAFB_EARNING_RETAINED_EOY","F9_10_NAFB_TOT_BOY","F9_10_NAFB_TOT_EOY","F9_10_NAFB_TOT_LIAB_NAFB_BOY","F9_10_NAFB_TOT_LIAB_NAFB_EOY","EIN2"
201423149349300892,"https://s3.amazonaws.com/irs-form-990/201423149349300892_public.xml","2013v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2013,,,,277177,30408,78882,75798,,,340492,515487,,,,,,,,,10441,21315,5391627,,,3380299,2061289,2011328,69625,61867,,,,,,,4044327,,4661324,,6882233,7377527,369800,464209,,,2279,0,,,,,,,,,,,,,372079,"X",464209,2339684,2191863,142361,84191,4028109,,4637264,,,,,,,6510154,6913318,6882233,7377527,"EIN-05-0258941"
201443219349303449,"https://s3.amazonaws.com/irs-form-990/201443219349303449_public.xml","2013v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2013,,,,183432,266463,,,,,,,,,,,,,752,6613,,,1754421,,,527948,1206404,1226473,,,,,,,,,,,,,1390588,1499549,,747,,,,,,,,,,,,,451091,408768,0,71605,451091,"X",481120,823295,910305,116202,108124,,,,,,,,,,939497,1018429,1390588,1499549,"EIN-02-0240383"
201510139349301301,"https://s3.amazonaws.com/irs-form-990/201510139349301301_public.xml","2013v4.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2013,,,,17652,21527,157591,177264,,,30239,39925,23038,22699,,,18000,18000,,,4396,5591,895203,,,321213,617629,573990,,,430704,510751,,,,,,,,,1299249,1369747,37963,42624,,,10500,10125,,,,,,,137595,131095,,,,,186058,"X",183844,994376,1052905,118815,132998,,,,,,,,,,1113191,1185903,1299249,1369747,"EIN-04-2596491"
201422279349302917,"https://s3.amazonaws.com/irs-form-990/201422279349302917_public.xml","2013v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR AUTISM INC",,"990",2013,,,,841,123,324047,476166,68158,35463,,,,,,,,,,,11616,20476,10982,,,10982,0,0,2085736,2449733,,,,,25100,14538,5859,,10726,,2521357,3007225,4390,4786,501876,553990,10900,72018,,,,,,,,,,,,,517166,"X",630794,1868635,2286612,135556,89819,,,,,,,,,,2004191,2376431,2521357,3007225,"EIN-04-3543134"
201540659349300734,"https://s3.amazonaws.com/irs-form-990/201540659349300734_public.xml","2013v4.0",42592472,"CAPE COD ACADEMY",,"990",2013,,,,,,847433,511619,13600,0,110231,52633,,,,,232829,117650,,,96195,95051,23212385,,,8125409,15378074,15086976,2324732,2215365,,,,,,,228028,,0,,19231122,18079294,611716,522158,,,1612459,932254,,,,,,,,685000,,,,,2224175,"X",2139412,16788907,15748394,41580,14572,176460,,176916,,,,,,,17006947,15939882,19231122,18079294,"EIN-04-2592472"
201511329349300641,"https://s3.amazonaws.com/irs-form-990/201511329349300641_public.xml","2013v4.0",30179298,"President and Fellows of Middlebury College",,"990",2013,,,,16260661,11931564,13603339,13094071,43282321,39712428,7445071,6104736,45252,42532,,,20153359,18538641,1005485,1069762,4261183,4596368,714794287,,,334848677,370802972,379945610,381073000,86414223,639661356,1045853467,9971236,,,,26564805,,29917175,,1534130040,1637220577,41707081,45575850,,,18503921,16961053,287754065,286817007,,3729855,,,,,,,41666617,40265800,389631684,"X",393349565,321476535,341739399,515602916,572344881,307418905,,329786732,,,,,,,1144498356,1243871012,1534130040,1637220577,"EIN-03-0179298"
201413039349200516,"https://s3.amazonaws.com/irs-form-990/201413039349200516_public.xml","2013v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2013,"X",43280,59273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,,9635,46130,68908,,,,,,,,,,,,,,,,,,,12553,,31380,,,,,,,,,,,,,,33577,37528,,,"EIN-04-3266589"
201531329349301718,"https://s3.amazonaws.com/irs-form-990/201531329349301718_public.xml","2013v4.0",60840436,"BENHAVEN INC",,"990",2013,,,,1437080,1316695,,,,,1689434,2307044,,,,,,,,,,,8974553,,,4279336,4848634,4695217,981193,1084229,,,,,,,35274,,35274,,8991615,9438459,815790,992325,,,,,,,,,,,2194728,2094955,,,28827,28827,3039345,"X",3116107,5952270,6322352,,,,,,,,,,,,5952270,6322352,8991615,9438459,"EIN-06-0840436"
201542239349300219,"https://s3.amazonaws.com/irs-form-990/201542239349300219_public.xml","2013v4.0",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2013,,,,,,94768,95678,,,678202,1025869,,,,,,,,,110583,82707,368623,,,320389,79151,48234,533962,396706,,,,,,,0,,592864,,1496666,2242058,704310,857142,,,229782,190056,,,,,,,,,,,1023053,1181295,1957145,"X",2228493,-533367,-649552,4940,2305,67948,,660812,,,,,,,-460479,13565,1496666,2242058,"EIN-04-2104310"
201531499349300218,"https://s3.amazonaws.com/irs-form-990/201531499349300218_public.xml","2013v4.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2013,,,,62194,56927,99079,57207,,,7678,11392,,,,,,,150,150,4160,3368,1508276,,,850649,672901,657627,,,122801,150925,,,,,,,,,968963,937596,46453,34832,,,37188,35494,,,,,,,,,,,7288,7914,90929,"X",78240,755133,733568,29691,32578,93210,,93210,,,,,,,878034,859356,968963,937596,"EIN-04-2259692"
