"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_01_ACT_GVRN_ACT_MISSION","F9_01_ACT_GVRN_TERMIN_KONTR_X","F9_01_ACT_GVRN_NUM_VOTE_MEMB","F9_01_ACT_GVRN_NUM_VOTE_MEMB_IND","F9_01_ACT_GVRN_EMPL_TOT","F9_01_ACT_GVRN_VOL_TOT","F9_01_ACT_GVRN_UBIZ_REV_TOT","F9_01_ACT_GVRN_UBIZ_TAXABLE_NET","F9_01_REV_CONTR_TOT_CY","F9_01_REV_CONTR_TOT_CY_2","F9_01_REV_CONTR_TOT_PY","F9_01_REV_PROG_TOT_CY","F9_01_REV_PROG_TOT_PY","F9_01_REV_INVEST_TOT_CY","F9_01_REV_INVEST_TOT_PY","F9_01_REV_OTH_CY","F9_01_REV_OTH_PY","F9_01_REV_TOT_CY","F9_01_REV_TOT_PY","F9_01_EXP_GRANT_SIMILAR_CY","F9_01_EXP_GRANT_SIMILAR_PY","F9_01_EXP_BEN_PAID_MEMB_CY","F9_01_EXP_BEN_PAID_MEMB_PY","F9_01_EXP_SAL_ETC_CY","F9_01_EXP_SAL_ETC_PY","F9_01_EXP_PROF_FUNDR_TOT_CY","F9_01_EXP_PROF_FUNDR_TOT_PY","F9_01_EXP_FUNDR_TOT_CY","F9_01_EXP_OTH_CY","F9_01_EXP_OTH_CY_V2","F9_01_EXP_OTH_PY","F9_01_EXP_TOT_CY","F9_01_EXP_TOT_PY","F9_01_EXP_REV_LESS_EXP_CY","F9_01_EXP_REV_LESS_EXP_PY","F9_01_NAFB_ASSET_TOT_BOY","F9_01_NAFB_ASSET_TOT_EOY","F9_01_NAFB_LIAB_TOT_BOY","F9_01_NAFB_LIAB_TOT_EOY","F9_01_NAFB_TOT_BOY","F9_01_NAFB_TOT_EOY","EIN2"
201801349349303665,"https://s3.amazonaws.com/irs-form-990/201801349349303665_public.xml","2016v3.0",30179298,"President and Fellows of Middlebury","College","990",2016,"We are a global liberal arts college offering undergraduate, graduate, and specialized programs.",,33,32,5482,2469,-646024,-1741002,35276000,,44212743,237441613,221715117,75566493,109162132,67751,83044,348351857,375173036,67921472,62949506,0,0,171734889,175358083,0,0,6779467,112444399,,112843146,352100760,351150735,-3748903,24022301,1514900607,1570248443,396558730,395932442,1118341877,1174316001,"EIN-03-0179298"
201712379349300816,"https://s3.amazonaws.com/irs-form-990/201712379349300816_public.xml","2016v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2016,"BETHANY HOME'S MISSION IS TO PROVIDE SUPERIOR SKILLED NURSING CARE IN A COMFORTABLE HOMELIKE ENVIRONMENT THAT SUPPORTS OUR RESIDENTS' NEEDS TO SOCIALIZE, MAINTAIN FAMILY AND COMMUNITY TIES, AND ENJOY LIFE TO THE FULLEST EXTENT POSSIBLE WITH DIGNITY AND RESPECT.",,15,15,93,15,0,0,198983,,186607,4532437,4463866,965,1193,7855,23395,4740240,4675061,0,0,0,0,2618706,2595611,0,0,0,1821394,,1834514,4440100,4430125,300140,244936,7609742,8240736,233065,242718,7376677,7998018,"EIN-05-0258941"
201712999349300411,"https://s3.amazonaws.com/irs-form-990/201712999349300411_public.xml","2016v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2016,"TO IMPROVE THE QUALITY OF LIFE FOR PEOPLE AND FAMILIES AFFECTED BY AUTISM.",,12,12,13,104,0,0,1103510,,1624689,17755,3216,57098,210536,-141800,-119390,1036563,1719051,534619,490134,0,0,404393,308027,0,0,193116,342654,,264147,1281666,1062308,-245103,656743,3135878,3019949,486187,521381,2649691,2498568,"EIN-04-3543134"
201811359349310581,"https://s3.amazonaws.com/irs-form-990/201811359349310581_public.xml","2016v3.0",60840436,"Benhaven Inc",,"990",2016,"THE SCHOOLING, TRAINING AND CARE OF AUTISTIC PEOPLE.",,9,8,358,0,0,0,11473,,18711,17659983,17137946,56286,45853,0,0,17727742,17202510,0,0,0,0,14214027,13661030,0,0,0,3146968,,3127663,17360995,16788693,366747,413817,11117015,10932109,3311275,2712153,7805740,8219956,"EIN-06-0840436"
201841989349301309,"https://s3.amazonaws.com/irs-form-990/201841989349301309_public.xml","2016v3.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2016,"ADVANCEMENT OF THE ARTS.",,20,20,42,200,0,0,303484,,273522,328747,336010,15459,5552,62783,24714,710473,639798,0,0,0,0,432099,386620,0,0,52519,303684,,344740,735783,731360,-25310,-91562,1175156,1143055,95357,86064,1079799,1056991,"EIN-04-2259692"
201722989349301367,"https://s3.amazonaws.com/irs-form-990/201722989349301367_public.xml","2016v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2016,"TO PROVIDE A CENTRAL CITY LOCATION WHERE, IN COOPERATION WITH OTHER GROUPS, WE CAN INTRODUCE, INTERPRET, AND STIMULATE THE STUDY OF PORTSMOUTH HISTORY. ACTIVITIES INCLUDE COLLECTING, PRESERVING, AND INTERPRETING EXAMPLES OF THE MATERIAL AND SOCIAL CULTURE OF PORTSMOUTH, PRESENTING PROGRAMS AND EXHIBITS, AND OPERATING A HISTORIC HOUSE MUSEUM AND VISITOR CENTER THAT SERVES AS A GATEWAY TO PORTSMOUTH.",,16,16,24,53,0,0,390090,,410187,129430,70424,137,241,158724,104678,678381,585530,0,0,0,0,311252,281379,0,0,100791,383748,,267383,695000,548762,-16619,36768,1401687,1327035,343643,285610,1058044,1041425,"EIN-02-0240383"
201821359349305012,"https://s3.amazonaws.com/irs-form-990/201821359349305012_public.xml","2016v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2016,"SEE SCHEULE O.PROVIDE A FULLY ACCREDITED TEN-MONTH MASTERS DEGREE PROGRAM IN ECOLOGICAL LANDSCAPE PLANNING AND DESIGN.",,10,10,21,25,0,0,159110,,214153,605773,867115,16153,7130,7991,168,789027,1088566,53750,148170,0,0,553466,623646,0,0,91644,409326,,496431,1016542,1268247,-227515,-179681,1295757,906314,193451,182996,1102306,723318,"EIN-04-2596491"
201743219349300644,"https://s3.amazonaws.com/irs-form-990/201743219349300644_public.xml","2016v3.0",42592472,"CAPE COD ACADEMY",,"990",2016,"THE ACADEMY IS A STUDENT-CENTERED, COLLEGE PREPARATORY, DAY ACADEMY FOR PRE-KINDERGARTEN THROUGH TWELFTH GRADE",,12,12,144,65,0,0,463308,,641667,6191431,6225184,-7720,18953,105327,101802,6752346,6987606,2031156,1573300,0,0,5332197,5306226,0,0,267686,2496341,,2440360,9859694,9319886,-3107348,-2332280,15260038,14965007,3452240,6264557,11807798,8700450,"EIN-04-2592472"
201842269349301494,"https://s3.amazonaws.com/irs-form-990/201842269349301494_public.xml","2016v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2016,"THE HOLYOKE VISITING NURSE ASSOCIATION, INC. ESTABLISHED IN 1905, IS DEDICATED TO PROVIDING QUALITY HOME HEALTH CARE TO INDIVIDUALS WHO ARE ELDERLY, IMPOVERISHED AND MEDICALLY NEEDY. WE COORDINATE AND DELIVER COMPREHENSIVE, COST EFFECTIVE SERVICES INCLUDING NURSING, PHYSICAL THERAPY, OCCUPATIONAL THERAPY, SPEECH THERAPY, SOCIAL WORK AND HOME HEALTH AIDE CARE. IN ADDITION, WE ARE COMMITTED TO PROMOTING COMMUNITY HEALTH THROUGH EDUCATION AND SPECIAL PROGRAMS.",,8,5,104,33,0,0,4766,,9224,6620204,6357320,117279,69547,0,0,6742249,6436091,0,0,0,0,4742166,4497507,0,0,0,1732900,,1582872,6475066,6080379,267183,355712,2273390,2692976,1762604,1890369,510786,802607,"EIN-04-2104310"
201732859349200123,"https://s3.amazonaws.com/irs-form-990/201732859349200123_public.xml","2016v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2016,,,,,,,,,,136768,,21062,,,,,,170935,,,,,,84782,,,,,,44817,,172068,,-1133,,,,,,60998,59865,"EIN-04-3266589"
