"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_09_INFO_SCHED_O_X","F9_09_EXP_GRANT_US_ORG_TOT","F9_09_EXP_GRANT_US_ORG_PROG","F9_09_EXP_GRANT_US_INDIV_TOT","F9_09_EXP_GRANT_US_INDIV_PROG","F9_09_EXP_GRANT_FRGN_TOT","F9_09_EXP_GRANT_FRGN_PROG","F9_09_EXP_BEN_PAID_MEMB_TOT","F9_09_EXP_BEN_PAID_MEMB_PROG","F9_09_EXP_COMP_DTK_TOT","F9_09_EXP_COMP_DTK_PROG","F9_09_EXP_COMP_DTK_MGMT","F9_09_EXP_COMP_DTK_FUNDR","F9_09_EXP_COMP_DSQ_PERS_TOT","F9_09_EXP_COMP_DSQ_PERS_PROG","F9_09_EXP_COMP_DSQ_PERS_MGMT","F9_09_EXP_COMP_DSQ_PERS_FUNDR","F9_09_EXP_OTH_SAL_WAGE_TOT","F9_09_EXP_OTH_SAL_WAGE_PROG","F9_09_EXP_OTH_SAL_WAGE_MGMT","F9_09_EXP_OTH_SAL_WAGE_FUNDR","F9_09_EXP_PENSION_CONTR_TOT","F9_09_EXP_PENSION_CONTR_PROG","F9_09_EXP_PENSION_CONTR_MGMT","F9_09_EXP_PENSION_CONTR_FUNDR","F9_09_EXP_OTH_EMPL_BEN_TOT","F9_09_EXP_OTH_EMPL_BEN_PROG","F9_09_EXP_OTH_EMPL_BEN_MGMT","F9_09_EXP_OTH_EMPL_BEN_FUNDR","F9_09_EXP_PAYROLL_TAX_TOT","F9_09_EXP_PAYROLL_TAX_PROG","F9_09_EXP_PAYROLL_TAX_MGMT","F9_09_EXP_PAYROLL_TAX_FUNDR","F9_09_EXP_FEE_SVC_MGMT_TOT","F9_09_EXP_FEE_SVC_MGMT_PROG","F9_09_EXP_FEE_SVC_MGMT_MGMT","F9_09_EXP_FEE_SVC_MGMT_FUNDR","F9_09_EXP_FEE_SVC_LEGAL_TOT","F9_09_EXP_FEE_SVC_LEGAL_PROG","F9_09_EXP_FEE_SVC_LEGAL_MGMT","F9_09_EXP_FEE_SVC_LEGAL_FUNDR","F9_09_EXP_FEE_SVC_ACC_TOT","F9_09_EXP_FEE_SVC_ACC_PROG","F9_09_EXP_FEE_SVC_ACC_MGMT","F9_09_EXP_FEE_SVC_ACC_FUNDR","F9_09_EXP_FEE_SVC_LOB_TOT","F9_09_EXP_FEE_SVC_LOB_PROG","F9_09_EXP_FEE_SVC_LOB_MGMT","F9_09_EXP_FEE_SVC_LOB_FUNDR","F9_09_EXP_FEE_SVC_FUNDR_TOT","F9_09_EXP_FEE_SVC_FUNDR_PROG","F9_09_EXP_FEE_SVC_FUNDR_MGMT","F9_09_EXP_FEE_SVC_FUNDR_FUNDR","F9_09_EXP_FEE_SVC_INVEST_TOT","F9_09_EXP_FEE_SVC_INVEST_PROG","F9_09_EXP_FEE_SVC_INVEST_MGMT","F9_09_EXP_FEE_SVC_INVEST_FUNDR","F9_09_EXP_FEE_SVC_OTH_TOT","F9_09_EXP_FEE_SVC_OTH_PROG","F9_09_EXP_FEE_SVC_OTH_MGMT","F9_09_EXP_FEE_SVC_OTH_FUNDR","F9_09_EXP_AD_PROMO_TOT","F9_09_EXP_AD_PROMO_PROG","F9_09_EXP_AD_PROMO_MGMT","F9_09_EXP_AD_PROMO_FUNDR","F9_09_EXP_OFFICE_TOT","F9_09_EXP_OFFICE_TOT_V2","F9_09_EXP_OFFICE_PROG","F9_09_EXP_OFFICE_MGMT","F9_09_EXP_OFFICE_FUNDR","F9_09_EXP_INFO_TECH_TOT","F9_09_EXP_INFO_TECH_PROG","F9_09_EXP_INFO_TECH_MGMT","F9_09_EXP_INFO_TECH_FUNDR","F9_09_EXP_ROY_TOT","F9_09_EXP_ROY_PROG","F9_09_EXP_ROY_MGMT","F9_09_EXP_ROY_FUNDR","F9_09_EXP_OCCUPANCY_TOT","F9_09_EXP_OCCUPANCY_PROG","F9_09_EXP_OCCUPANCY_MGMT","F9_09_EXP_OCCUPANCY_FUNDR","F9_09_EXP_TRAVEL_TOT","F9_09_EXP_TRAVEL_PROG","F9_09_EXP_TRAVEL_MGMT","F9_09_EXP_TRAVEL_FUNDR","F9_09_EXP_TRAVEL_ENTMT_TOT","F9_09_EXP_TRAVEL_ENTMT_PROG","F9_09_EXP_TRAVEL_ENTMT_MGMT","F9_09_EXP_TRAVEL_ENTMT_FUNDR","F9_09_EXP_CONF_MEETING_TOT","F9_09_EXP_CONF_MEETING_PROG","F9_09_EXP_CONF_MEETING_MGMT","F9_09_EXP_CONF_MEETING_FUNDR","F9_09_EXP_INT_TOT","F9_09_EXP_INT_PROG","F9_09_EXP_INT_MGMT","F9_09_EXP_INT_FUNDR","F9_09_EXP_PAY_AFFIL_TOT","F9_09_EXP_PAY_AFFIL_PROG","F9_09_EXP_PAY_AFFIL_MGMT","F9_09_EXP_PAY_AFFIL_FUNDR","F9_09_EXP_DEPREC_TOT","F9_09_EXP_DEPREC_PROG","F9_09_EXP_DEPREC_MGMT","F9_09_EXP_DEPREC_FUNDR","F9_09_EXP_INSURANCE_TOT","F9_09_EXP_INSURANCE_PROG","F9_09_EXP_INSURANCE_MGMT","F9_09_EXP_INSURANCE_FUNDR","F9_09_EXP_OTH_OTH_TOT","F9_09_EXP_OTH_OTH_PROG","F9_09_EXP_OTH_OTH_MGMT","F9_09_EXP_OTH_OTH_FUNDR","F9_09_EXP_TOT_TOT","F9_09_EXP_TOT_PROG","F9_09_EXP_TOT_MGMT","F9_09_EXP_TOT_FUNDR","F9_09_EXP_JOINT_COST_X","F9_09_EXP_JOINT_COST_TOT","F9_09_EXP_JOINT_COST_PROG","F9_09_EXP_JOINT_COST_MGMT","F9_09_EXP_JOINT_COST_FUNDR","EIN2"
201801349349303665,"https://s3.amazonaws.com/irs-form-990/201801349349303665_public.xml","2016v3.0",30179298,"President and Fellows of Middlebury","College","990",2016,,732507,732507,67188965,67188965,,,,,1771747,301197,1169353,301197,3614233,3614233,,,123236797,99666333,20214041,3356423,13207891,10724908,2095476,387507,21635107,17567872,3432482,634753,8269114,6714583,1311923,242608,,,,,474130,92275,381409,446,305228,151628,153600,,16577,,16577,,,,,,5704263,,5704263,,,,,,850463,239862,588893,21708,1532091,,1025284,314860,191947,2236998,902272,1313764,20962,,,,,11783837,10863508,882989,37340,7924821,6467261,1049161,408399,,,,,1247434,819971,399746,27717,12767963,11886628,881335,,,,,,20454647,14688414,5766233,,2830099,2933068,-102969,,8693409,5590585,2623625,479199,352100760,285047222,60274071,6779467,,,,,,"EIN-03-0179298"
201712379349300816,"https://s3.amazonaws.com/irs-form-990/201712379349300816_public.xml","2016v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2016,,,,,,,,,,128232,,128232,,,,,,2064852,1861643,203209,,44301,42817,1484,,203577,182265,21312,,177744,151949,25795,,,,,,6291,,6291,,27930,,27930,,,,,,,,,,,,,,126822,28296,98526,,10488,,10488,,34024,,,34024,,11672,,11672,,,,,,71538,71538,,,908,,908,,,,,,12418,,12418,,1295,,1295,,,,,,153933,143316,10617,,121514,100056,21458,,101672,83731,17941,,4440100,3727199,712901,0,,,,,,"EIN-05-0258941"
201712999349300411,"https://s3.amazonaws.com/irs-form-990/201712999349300411_public.xml","2016v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2016,,459551,459551,62461,62461,12607,12607,,,92663,74130,4633,13900,,,,,270987,137796,38482,94709,2025,1648,333,44,5500,1100,275,4125,33218,19455,3911,9852,,,,,,,,,43985,,43985,,,,,,,,,,17044,,17044,,9081,4500,4581,,24000,24000,,,26397,,3219,18585,4593,39290,14100,13596,11594,,,,,28620,17372,2988,8260,6791,4754,73,1964,,,,,2588,1812,,776,,,,,,,,,6200,,6200,,6362,2567,2512,1283,,,,,1281666,909636,178914,193116,,,,,,"EIN-04-3543134"
201811359349310581,"https://s3.amazonaws.com/irs-form-990/201811359349310581_public.xml","2016v3.0",60840436,"Benhaven Inc",,"990",2016,,,,,,,,,,317419,293769,23650,,,,,,10103208,9350191,753017,,485821,449734,36087,,2214657,2050150,164507,,1092922,1011739,81183,,,,,,3944,,3944,,40500,,40500,,,,,,,,,,12808,,12808,,526716,506287,20429,,2251,2251,,,11617,,,11617,,48459,25552,22907,,,,,,246090,222601,23489,,574484,554457,20027,,,,,,39534,33235,6299,,127072,127072,,,,,,,419603,357359,62244,,88448,,88448,,57587,47802,9785,,17360995,15840508,1520487,0,,,,,,"EIN-06-0840436"
201841989349301309,"https://s3.amazonaws.com/irs-form-990/201841989349301309_public.xml","2016v3.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2016,,,,,,,,,,82929,49757,16586,16586,,,,,314720,228915,54128,31677,,,,,,,,,34450,24143,6126,4181,,,,,,,,,10539,,10539,,,,,,,,,,1031,,1031,,36855,33939,2916,,15922,12015,3907,,,,,,,,,,,,,,,22249,20024,2225,,,,,,,,,,21132,16237,4895,,,,,,,,,,41711,37540,4171,,11009,1000,10009,,56384,31543,24766,75,735783,524975,158289,52519,,,,,,"EIN-04-2259692"
201722989349301367,"https://s3.amazonaws.com/irs-form-990/201722989349301367_public.xml","2016v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2016,,,,,,,,,,64616,6462,25846,32308,,,,,219951,150966,12995,55990,,,,,3394,1878,463,1053,23291,12885,3179,7227,,,,,,,,,15408,,15408,,,,,,,,,,,,,,6123,,6123,,2304,2304,,,13623,,10899,1362,1362,1332,1332,,,,,,,124744,99796,24948,,,,,,,,,,,,,,5826,,5826,,,,,,36914,29531,7383,,16039,12831,3208,,9238,6524,2182,532,695000,478125,116084,100791,,,,,,"EIN-02-0240383"
201821359349305012,"https://s3.amazonaws.com/irs-form-990/201821359349305012_public.xml","2016v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2016,,,,53750,53750,,,,,75100,,66839,8261,,,,,385110,276126,71224,37760,5498,3299,1649,550,45013,27008,13504,4501,42745,25646,12824,4275,,,,,,,,,6600,,6600,,,,,,,,,,,,,,1134,,,1134,,,,,7445,,70,7375,,,,,,,,,,96291,67403,19259,9629,5291,546,4745,,,,,,,,,,5982,4188,1196,598,,,,,63718,44602,12744,6372,16276,11394,3255,1627,72594,44887,18619,9088,1016542,629402,295496,91644,,,,,,"EIN-04-2596491"
201743219349300644,"https://s3.amazonaws.com/irs-form-990/201743219349300644_public.xml","2016v3.0",42592472,"CAPE COD ACADEMY",,"990",2016,,,,2031156,2031156,,,,,574140,333255,240885,,,,,,3628341,2168970,1282949,176422,89402,36793,50675,1934,660487,356555,302797,1135,379827,213134,153374,13319,,,,,72060,,72060,,19350,,19350,,,,,,,,,,7624,,7624,,5775,,5775,,196324,,196324,,38370,,,20492,17878,32735,,32735,,,,,,140707,140707,,,7863,,7863,,,,,,22824,,22824,,146374,,146374,,,,,,594596,512871,55602,26123,142832,,142832,,140090,,109215,30875,9859694,6722258,2869750,267686,,,,,,"EIN-04-2592472"
201842269349301494,"https://s3.amazonaws.com/irs-form-990/201842269349301494_public.xml","2016v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2016,,,,,,,,,,,,,,,,,,4098962,3289417,809545,,100,80,20,,315187,252938,62249,,327917,263153,64764,,,,,,19823,,19823,,40000,,40000,,,,,,,,,,,,,,342722,323042,19680,,10594,8502,2092,,11555,,9273,2282,,66443,53321,13122,,,,,,102680,82401,20279,,109546,87911,21635,,,,,,5086,4082,1004,,,,,,,,,,39671,31836,7835,,39799,31939,7860,,25889,20776,5113,,6475066,5271900,1203166,0,,,,,,"EIN-04-2104310"
201732859349200123,"https://s3.amazonaws.com/irs-form-990/201732859349200123_public.xml","2016v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8844,,,,,,,,,,,,9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIN-04-3266589"
