"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_08_INFO_SCHED_O_X","F9_08_REV_CONTR_FED_CAMP","F9_08_REV_CONTR_MEMBSHIP_DUE","F9_08_REV_CONTR_FUNDR_EVNT","F9_08_REV_CONTR_RLTD_ORG","F9_08_REV_CONTR_GOVT_GRANT","F9_08_REV_CONTR_OTH","F9_08_REV_CONTR_NONCSH","F9_08_REV_CONTR_TOT","F9_08_REV_PROG_OTH_TOT","F9_08_REV_PROG_OTH_RLTD","F9_08_REV_PROG_OTH_UBIZ","F9_08_REV_PROG_OTH_EXCL","F9_08_REV_PROG_TOT_TOT","F9_08_REV_OTH_INVEST_INCOME_TOT","F9_08_REV_OTH_INVEST_INCOME_RLTD","F9_08_REV_OTH_INVEST_INCOME_UBIZ","F9_08_REV_OTH_INVEST_INCOME_EXCL","F9_08_REV_OTH_INVEST_BOND_TOT","F9_08_REV_OTH_INVEST_BOND_RLTD","F9_08_REV_OTH_INVEST_BOND_UBIZ","F9_08_REV_OTH_INVEST_BOND_EXCL","F9_08_REV_OTH_ROY_TOT","F9_08_REV_OTH_ROY_RLTD","F9_08_REV_OTH_ROY_UBIZ","F9_08_REV_OTH_ROY_EXCL","F9_08_REV_OTH_RENT_GRO_REAL","F9_08_REV_OTH_RENT_GRO_PERS","F9_08_REV_OTH_RENT_LESS_EXP_REAL","F9_08_REV_OTH_RENT_LESS_EXP_PERS","F9_08_REV_OTH_RENT_INCOME_REAL","F9_08_REV_OTH_RENT_INCOME_PERS","F9_08_REV_OTH_RENT_NET_TOT","F9_08_REV_OTH_RENT_NET_RLTD","F9_08_REV_OTH_RENT_NET_UBIZ","F9_08_REV_OTH_RENT_NET_EXCL","F9_08_REV_OTH_SALE_ASSET_SEC","F9_08_REV_OTH_SALE_ASSET_OTH","F9_08_REV_OTH_SALE_ASSET","F9_08_REV_OTH_SALE_LESS_COST_SEC","F9_08_REV_OTH_SALE_LESS_COST_OTH","F9_08_REV_OTH_SALE_LESS_COST","F9_08_REV_OTH_SALE_GAIN_SEC","F9_08_REV_OTH_SALE_GAIN_OTH","F9_08_REV_OTH_SALE_GAIN_NET_TOT","F9_08_REV_OTH_SALE_GAIN_NET_RLTD","F9_08_REV_OTH_SALE_GAIN_NET_UBIZ","F9_08_REV_OTH_SALE_GAIN_NET_EXCL","F9_08_REV_OTH_FUNDR_EVNT_0","F9_08_REV_OTH_FUNDR_EVNT_1","F9_08_REV_OTH_FUNDR_DIRECT_EXP","F9_08_REV_OTH_EVNT_DIRECT_EXP","F9_08_REV_OTH_EVNT_NET_TOT","F9_08_REV_OTH_FUNDR_NET_TOT","F9_08_REV_OTH_FUNDR_NET_RLTD","F9_08_REV_OTH_FUNDR_NET_UBIZ","F9_08_REV_OTH_FUNDR_NET_EXCL","F9_08_REV_OTH_GAMING","F9_08_REV_OTH_GAMING_DIRECT_EXP","F9_08_REV_OTH_GAMING_NET_TOT","F9_08_REV_OTH_GAMING_NET_RLTD","F9_08_REV_OTH_GAMING_NET_UBIZ","F9_08_REV_OTH_GAMING_NET_EXCL","F9_08_REV_OTH_INV_GRO_SALE","F9_08_REV_OTH_INV_COST_GOODS","F9_08_REV_OTH_INV_NET_TOT","F9_08_REV_OTH_INV_NET_RLTD","F9_08_REV_OTH_INV_NET_UBIZ","F9_08_REV_OTH_INV_NET_EXCL","F9_08_REV_MISC_OTH_TOT","F9_08_REV_MISC_OTH_RLTD","F9_08_REV_MISC_OTH_UBIZ","F9_08_REV_MISC_OTH_EXCL","F9_08_REV_MISC_TOT_TOT","F9_08_REV_TOT_TOT","F9_08_REV_TOT_RLTD","F9_08_REV_TOT_UBIZ","F9_08_REV_TOT_EXCL","EIN2"
201720449349302492,"https://s3.amazonaws.com/irs-form-990/201720449349302492_public.xml","2015v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2015,,,,,,,214153,,214153,,,,,867115,7130,,,7130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264,1090662,867115,0,9394,"EIN-04-2596491"
201731319349304523,"https://s3.amazonaws.com/irs-form-990/201731319349304523_public.xml","2015v3.0",60840436,"BENHAVEN INC",,"990",2015,,,,,,,18711,,18711,,,,,17137946,45353,,,45353,,,,,,,,,,,,,,,,,,,,500,,,0,,,500,500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,17202510,17137946,0,45853,"EIN-06-0840436"
201601239349200810,"https://s3.amazonaws.com/irs-form-990/201601239349200810_public.xml","2015v2.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2015,,,10895,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,"EIN-04-3266589"
201741299349302179,"https://s3.amazonaws.com/irs-form-990/201741299349302179_public.xml","2015v3.0",30179298,"President and Fellows of Middlebury","College","990",2015,,,,,,3498869,40713874,8041718,44212743,9542963,9542963,,,221715117,40470132,,-2721424,43191556,,,,,29126,,,29126,,,,,,,,,,,250448000,,,181756000,,,68692000,,68692000,,1663747,67028253,,,,,,,,,,,,,,,,,,,,,,,,,,53918,375173036,221180198,-468840,110248935,"EIN-03-0179298"
201712239349301951,"https://s3.amazonaws.com/irs-form-990/201712239349301951_public.xml","2015v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2015,,742,,,,,8482,,9224,,,,,6357320,45682,,,45682,,,,,,,,,,,,,,,,,,,23865,,,0,,,23865,,23865,,,23865,,,,,,,,,,,,,,,,,,,,,,,,,,,6436091,6357320,0,69547,"EIN-04-2104310"
201643069349300434,"https://s3.amazonaws.com/irs-form-990/201643069349300434_public.xml","2015v2.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2015,,,,576030,,,1048659,24283,1624689,,,,,3216,65023,,,65023,,,,,,,,,,,,,,,,,,,862347,,,716834,,,145513,,145513,,,145513,576030,35416,154806,,,-119390,,,-119390,,,,,,,,,,,,,,,,,,1719051,3216,0,91146,"EIN-04-3543134"
201603509349301090,"https://s3.amazonaws.com/irs-form-990/201603509349301090_public.xml","2015v2.1",42259692,"SOUTH SHORE ART CENTER INC",,"990",2015,,,105524,37555,,,130443,,273522,4493,4493,,,336010,5552,,,5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37555,61883,37169,,,24714,,,24714,,,,,,,,,,,,,,,,,,639798,336010,0,30266,"EIN-04-2259692"
201623489349300632,"https://s3.amazonaws.com/irs-form-990/201623489349300632_public.xml","2015v2.1",42592472,"CAPE COD ACADEMY",,"990",2015,,,,,,,641667,241177,641667,,,,,6225184,18879,,,18879,,,,,,,,,,,,,,,,,,,332805,,,332731,,,74,,74,,,74,,17539,5107,,,12432,,,12432,,,,,,,,,,,,,,,,,89370,6987606,6225184,0,120755,"EIN-04-2592472"
201613149349301766,"https://s3.amazonaws.com/irs-form-990/201613149349301766_public.xml","2015v2.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2015,,,26020,,,,384167,10000,410187,,,,,70424,241,,,241,,,,,,,,,59347,,0,,59347,,59347,,,59347,,,,,,,,,,,,,,18041,3169,,,14872,,,14872,,,,,,,41003,17257,23746,23746,,,,,,,6713,585530,100883,0,74460,"EIN-02-0240383"
201612299349300861,"https://s3.amazonaws.com/irs-form-990/201612299349300861_public.xml","2015v2.1",50258941,"BETHANY HOME OF RI INC",,"990",2015,,,,,,,186607,,186607,,,,,4463866,1193,,,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23395,4675061,4463866,0,24588,"EIN-05-0258941"
