"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_10_INFO_SCHED_O_X","F9_10_ASSET_CASH_SAVING_BOY","F9_10_ASSET_CASH_SAVING_EOY","F9_10_ASSET_CASH_BOY","F9_10_ASSET_CASH_EOY","F9_10_ASSET_SAVING_BOY","F9_10_ASSET_SAVING_EOY","F9_10_ASSET_PLEDGE_NET_BOY","F9_10_ASSET_PLEDGE_NET_EOY","F9_10_ASSET_ACC_NET_BOY","F9_10_ASSET_ACC_NET_EOY","F9_10_ASSET_LOAN_OFF_BOY","F9_10_ASSET_LOAN_OFF_EOY","F9_10_ASSET_LOAN_DSQ_PERS_BOY","F9_10_ASSET_LOAN_DSQ_PERS_EOY","F9_10_ASSET_NOTE_LOAN_NET_BOY","F9_10_ASSET_NOTE_LOAN_NET_EOY","F9_10_ASSET_INV_SALE_BOY","F9_10_ASSET_INV_SALE_EOY","F9_10_ASSET_EXP_PREPAID_BOY","F9_10_ASSET_EXP_PREPAID_EOY","F9_10_ASSET_LAND_BLDG","F9_10_ASSET_LAND_BLDG_BOY","F9_10_ASSET_LAND_BLDG_EOY","F9_10_ASSET_LAND_BLDG_DEPREC","F9_10_ASSET_LAND_BLDG_NET_BOY","F9_10_ASSET_LAND_BLDG_NET_EOY","F9_10_ASSET_INVEST_SEC_BOY","F9_10_ASSET_INVEST_SEC_EOY","F9_10_ASSET_INVEST_SEC_OTH_BOY","F9_10_ASSET_INVEST_SEC_OTH_EOY","F9_10_ASSET_INVEST_PROG_RLTD_BOY","F9_10_ASSET_INVEST_PROG_RLTD_EOY","F9_10_ASSET_INTANGIBLE_BOY","F9_10_ASSET_INTANGIBLE_EOY","F9_10_ASSET_OTH_BOY","F9_10_ASSET_OTH_BOY_V2","F9_10_ASSET_OTH_EOY","F9_10_ASSET_OTH_EOY_V2","F9_10_ASSET_TOT_BOY","F9_10_ASSET_TOT_EOY","F9_10_LIAB_ACC_PAYABLE_BOY","F9_10_LIAB_ACC_PAYABLE_EOY","F9_10_LIAB_GRANT_PAYABLE_BOY","F9_10_LIAB_GRANT_PAYABLE_EOY","F9_10_LIAB_REV_DEFERRED_BOY","F9_10_LIAB_REV_DEFERRED_EOY","F9_10_LIAB_TAX_EXEMPT_BOND_BOY","F9_10_LIAB_TAX_EXEMPT_BOND_EOY","F9_10_LIAB_ESCROW_ACC_BOY","F9_10_LIAB_ESCROW_ACC_EOY","F9_10_LIAB_LOAN_OFF_BOY","F9_10_LIAB_LOAN_OFF_EOY","F9_10_LIAB_MTG_NOTE_BOY","F9_10_LIAB_MTG_NOTE_EOY","F9_10_LIAB_NOTE_UNSEC_BOY","F9_10_LIAB_NOTE_UNSEC_EOY","F9_10_LIAB_OTH_BOY","F9_10_LIAB_OTH_EOY","F9_10_LIAB_TOT_BOY","F9_10_NAFB_FOLLOW_SFAS117_X","F9_10_LIAB_TOT_EOY","F9_10_NAFB_UNRESTRICT_BOY","F9_10_NAFB_UNRESTRICT_EOY","F9_10_NAFB_RESTRICT_TEMP_BOY","F9_10_NAFB_RESTRICT_TEMP_EOY","F9_10_NAFB_RESTRICT_PERM_BOY","F9_10_NAFB_NO_FOLLOW_SFAS117_X","F9_10_NAFB_RESTRICT_PERM_EOY","F9_10_NAFB_CAP_STCK_BOY","F9_10_NAFB_CAP_STCK_EOY","F9_10_NAFB_CAP_SURPLUS_BOY","F9_10_NAFB_CAP_SURPLUS_EOY","F9_10_NAFB_EARNING_RETAINED_BOY","F9_10_NAFB_EARNING_RETAINED_EOY","F9_10_NAFB_TOT_BOY","F9_10_NAFB_TOT_EOY","F9_10_NAFB_TOT_LIAB_NAFB_BOY","F9_10_NAFB_TOT_LIAB_NAFB_EOY","EIN2"
201801349349303665,"https://s3.amazonaws.com/irs-form-990/201801349349303665_public.xml","2016v3.0",30179298,"President and Fellows of Middlebury","College","990",2016,,,,8365358,8697961,315380,318901,32980401,20897838,7128275,5727182,36649,33588,,,17267773,15311481,968032,798604,2184513,3563990,783917001,,,402502629,388920501,381414372,143308000,157758000,885842407,947360000,,,,,27583318,,28366526,,1514900607,1570248443,48664766,42217323,,,18059447,20106504,281574228,260776325,9235581,9950595,,,,,70000,21840000,38954708,41041695,396558730,"X",395932442,248983769,239988483,507209698,557212566,362148410,,377114952,,,,,,,1118341877,1174316001,1514900607,1570248443,"EIN-03-0179298"
201712379349300816,"https://s3.amazonaws.com/irs-form-990/201712379349300816_public.xml","2016v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2016,,,,615019,633240,264024,94600,,17000,700809,791805,,,,,,,,,11777,9113,5265306,,,3182823,1708670,2082483,32068,33786,,,,,,,4277375,,4578709,,7609742,8240736,204235,219414,,,,,,,,,,,28830,23304,,,,,233065,"X",242718,3135185,3425969,3563,13753,4237929,,4558296,,,,,,,7376677,7998018,7609742,8240736,"EIN-05-0258941"
201712999349300411,"https://s3.amazonaws.com/irs-form-990/201712999349300411_public.xml","2016v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2016,,,,61846,100760,592799,384465,329082,191759,,,,,,,,,,,14737,15116,19523,,,13104,6566,6419,2112917,2298530,,,,,8456,14222,9475,,8678,,3135878,3019949,18363,18051,429998,472158,,,,,,,,,,,,,37826,31172,486187,"X",521381,2292257,2150210,357434,348358,,,,,,,,,,2649691,2498568,3135878,3019949,"EIN-04-3543134"
201811359349310581,"https://s3.amazonaws.com/irs-form-990/201811359349310581_public.xml","2016v3.0",60840436,"Benhaven Inc",,"990",2016,,,,2370073,2282055,,,,,1871563,1864142,,,,,,,,,,,9905642,,,5248150,4850714,4657492,2013270,2117025,,,,,,,11395,,11395,,11117015,10932109,1376798,896313,,,,,,,,,,,1904723,1786086,,,29754,29754,3311275,"X",2712153,7805740,8219956,,,,,,,,,,,,7805740,8219956,11117015,10932109,"EIN-06-0840436"
201841989349301309,"https://s3.amazonaws.com/irs-form-990/201841989349301309_public.xml","2016v3.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2016,,,,79488,37550,317408,78727,,,6707,1000,,,,,,,118,118,1387,1362,1572371,,,971015,624448,601356,,,145600,422942,,,,,,,,,1175156,1143055,48337,40860,,,36590,33288,,,,,,,,,,,10430,11916,95357,"X",86064,967583,928874,19006,34907,93210,,93210,,,,,,,1079799,1056991,1175156,1143055,"EIN-04-2259692"
201722989349301367,"https://s3.amazonaws.com/irs-form-990/201722989349301367_public.xml","2016v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2016,,,,157031,100667,,,,,,,,,,,,,14723,17559,,,1843841,,,635032,1229933,1208809,,,,,,,,,,,,,1401687,1327035,29952,20902,,,,,,,,,,,,,313691,264708,,,343643,"X",285610,971021,992975,87023,48450,,,,,,,,,,1058044,1041425,1401687,1327035,"EIN-02-0240383"
201821359349305012,"https://s3.amazonaws.com/irs-form-990/201821359349305012_public.xml","2016v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2016,,,,,73458,162908,67466,9250,5000,74445,44901,,,,,18000,11100,,,35405,30557,937977,,,467094,654920,470883,,,340829,202949,,,,,,,,,1295757,906314,68615,26416,,,9000,48431,,,,,,,115836,108149,,,,,193451,"X",182996,1049956,668468,52350,54850,,,,,,,,,,1102306,723318,1295757,906314,"EIN-04-2596491"
201743219349300644,"https://s3.amazonaws.com/irs-form-990/201743219349300644_public.xml","2016v3.0",42592472,"CAPE COD ACADEMY",,"990",2016,,,,,,223045,381896,31000,0,12901,97826,,,,,33508,13485,,,95403,107269,23223767,,,9674101,14045045,13549666,819136,814865,,,,,,,,,,,15260038,14965007,615233,1032028,,,837007,1232529,,,,,1000000,3000000,1000000,1000000,,,,,3452240,"X",6264557,11498852,8510354,131935,13005,177011,,177091,,,,,,,11807798,8700450,15260038,14965007,"EIN-04-2592472"
201842269349301494,"https://s3.amazonaws.com/irs-form-990/201842269349301494_public.xml","2016v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2016,,,,,,299229,470844,,,812988,873951,,,,,,,,,95842,88986,479497,,,427647,73845,51850,460666,651887,,,,,,,530820,,555458,,2273390,2692976,328859,411570,,,197781,233957,,,,,,,,,,,1235964,1244842,1762604,"X",1890369,-87982,179201,,,598768,,623406,,,,,,,510786,802607,2273390,2692976,"EIN-04-2104310"
201732859349200123,"https://s3.amazonaws.com/irs-form-990/201732859349200123_public.xml","2016v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2016,"X",71114,60699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,,2264,72270,62963,,,,,,,,,,,,,,,,,,,11272,,3098,,,,,,,,,,,,,,60998,59865,,,"EIN-04-3266589"
