"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_01_ACT_GVRN_ACT_MISSION","F9_01_ACT_GVRN_TERMIN_KONTR_X","F9_01_ACT_GVRN_NUM_VOTE_MEMB","F9_01_ACT_GVRN_NUM_VOTE_MEMB_IND","F9_01_ACT_GVRN_EMPL_TOT","F9_01_ACT_GVRN_VOL_TOT","F9_01_ACT_GVRN_UBIZ_REV_TOT","F9_01_ACT_GVRN_UBIZ_TAXABLE_NET","F9_01_REV_CONTR_TOT_CY","F9_01_REV_CONTR_TOT_CY_2","F9_01_REV_CONTR_TOT_PY","F9_01_REV_PROG_TOT_CY","F9_01_REV_PROG_TOT_PY","F9_01_REV_INVEST_TOT_CY","F9_01_REV_INVEST_TOT_PY","F9_01_REV_OTH_CY","F9_01_REV_OTH_PY","F9_01_REV_TOT_CY","F9_01_REV_TOT_PY","F9_01_EXP_GRANT_SIMILAR_CY","F9_01_EXP_GRANT_SIMILAR_PY","F9_01_EXP_BEN_PAID_MEMB_CY","F9_01_EXP_BEN_PAID_MEMB_PY","F9_01_EXP_SAL_ETC_CY","F9_01_EXP_SAL_ETC_PY","F9_01_EXP_PROF_FUNDR_TOT_CY","F9_01_EXP_PROF_FUNDR_TOT_PY","F9_01_EXP_FUNDR_TOT_CY","F9_01_EXP_OTH_CY","F9_01_EXP_OTH_CY_V2","F9_01_EXP_OTH_PY","F9_01_EXP_TOT_CY","F9_01_EXP_TOT_PY","F9_01_EXP_REV_LESS_EXP_CY","F9_01_EXP_REV_LESS_EXP_PY","F9_01_NAFB_ASSET_TOT_BOY","F9_01_NAFB_ASSET_TOT_EOY","F9_01_NAFB_LIAB_TOT_BOY","F9_01_NAFB_LIAB_TOT_EOY","F9_01_NAFB_TOT_BOY","F9_01_NAFB_TOT_EOY","EIN2"
201423149349300892,"https://s3.amazonaws.com/irs-form-990/201423149349300892_public.xml","2013v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2013,"BETHANY HOME'S MISSION IS TO PROVIDE SUPERIOR SKILLED NURSING CARE IN A COMFORTABLE HOMELIKE ENVIRONMENT THAT SUPPORTS OUR RESIDENTS' NEEDS TO SOCIALIZE, MAINTAIN FAMILY AND COMMUNITY TIES, AND ENJOY LIFE TO THE FULLEST EXTENT POSSIBLE WITH DIGNITY AND RESPECT.",,16,15,126,1,0,0,481898,,662849,3651236,3740589,11260,41594,17443,30636,4161837,4475668,0,0,0,0,2451262,2222717,0,0,0,1911222,,2004228,4362484,4226945,-200647,248723,6882233,7377527,372079,464209,6510154,6913318,"EIN-05-0258941"
201443219349303449,"https://s3.amazonaws.com/irs-form-990/201443219349303449_public.xml","2013v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2013,"TO PROVIDE A CENTRAL CITY LOCATION WHERE, IN COOPERATION WITH OTHER GROUPS, WE CAN INTRODUCE, INTERPRET, AND STIMULATE THE STUDY OF PORTSMOUTH HISTORY. ACTIVITIES INCLUDE COLLECTING, PRESERVING, AND INTERPRETING EXAMPLES OF THE MATERIAL AND SOCIAL CULTURE OF PORTSMOUTH, PRESENTING PROGRAMS AND EXHIBITS, AND OPERATING A HISTORIC HOUSE MUSEUM AND VISITOR CENTER THAT SERVES AS A GATEWAY TO PORTSMOUTH.",,17,17,16,55,0,0,370786,,774461,90817,51406,121,8282,100196,86968,561920,921117,0,0,0,0,199776,168149,0,0,50370,283212,,239696,482988,407845,78932,513272,1390588,1499549,451091,481120,939497,1018429,"EIN-02-0240383"
201510139349301301,"https://s3.amazonaws.com/irs-form-990/201510139349301301_public.xml","2013v4.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2013,"PROVIDE A FULLY ACCREDITED ONE-YEAR MASTER DEGREE PROGRAM IN LANDSCAPE DESIGN.",,16,16,17,25,0,0,294185,,104594,585923,649003,20912,18463,715,17919,901735,789979,35000,29725,0,0,533186,482115,0,0,145126,248060,,255556,816246,767396,85489,22583,1299249,1369747,186058,183844,1113191,1185903,"EIN-04-2596491"
201422279349302917,"https://s3.amazonaws.com/irs-form-990/201422279349302917_public.xml","2013v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR AUTISM INC",,"990",2013,"TO IMPROVE THE QUALITY OF LIFE FOR PEOPLE AND FAMILIES AFFECTED BY AUTISM.",,14,14,5,130,0,0,1068540,,765304,0,0,155848,190012,265,90,1224653,955406,638824,516955,0,0,262551,222912,0,0,102842,220863,,199535,1122238,939402,102415,16004,2521357,3007225,517166,630794,2004191,2376431,"EIN-04-3543134"
201540659349300734,"https://s3.amazonaws.com/irs-form-990/201540659349300734_public.xml","2013v4.0",42592472,"CAPE COD ACADEMY",,"990",2013,"THE ACADEMY IS A COLLEGE PREPARATORY DAY ACADEMY FOR PRE-KINDERGARTEN THROUGH GRADE TWELVE",,17,16,150,90,0,0,592081,,311496,7409597,8012304,135440,150927,90053,93243,8227171,8567970,1558618,1576875,0,0,4928484,5217014,0,0,354311,3013278,,2935210,9500380,9729099,-1273209,-1161129,19231122,18079294,2224175,2139412,17006947,15939882,"EIN-04-2592472"
201511329349300641,"https://s3.amazonaws.com/irs-form-990/201511329349300641_public.xml","2013v4.0",30179298,"President and Fellows of Middlebury College",,"990",2013,"We are a global liberal arts college offering undergraduate, graduate, and specialized programs.",,33,31,5236,2298,2035757,-629142,54237347,,61747381,210918346,211067814,60107173,38731224,144742,196283,325407608,311742702,52908352,50326414,0,0,154830983,148322437,0,0,6367051,112274616,,104565740,320013951,303214591,5393657,8528111,1534130040,1637220577,389631684,393349565,1144498356,1243871012,"EIN-03-0179298"
201413039349200516,"https://s3.amazonaws.com/irs-form-990/201413039349200516_public.xml","2013v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2013,,,,,,,,,,96934,,57692,,,,,,165399,,,,,,71367,,,,,,31849,,161448,,3951,,,,,,33577,37528,"EIN-04-3266589"
201531329349301718,"https://s3.amazonaws.com/irs-form-990/201531329349301718_public.xml","2013v4.0",60840436,"BENHAVEN INC",,"990",2013,"THE SCHOOLING, TRAINING AND CARE OF AUTISTIC PEOPLE.",,10,9,336,0,0,0,34567,,27385,15622528,14821202,37226,34477,0,45000,15694321,14928064,0,0,0,0,12535010,12101873,0,0,0,2868689,,2734436,15403699,14836309,290622,91755,8991615,9438459,3039345,3116107,5952270,6322352,"EIN-06-0840436"
201542239349300219,"https://s3.amazonaws.com/irs-form-990/201542239349300219_public.xml","2013v4.0",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2013,"The Holyoke Visiting Nurse Association, Inc. established in 1905, is dedicated to providing quality home health care to individuals who are elderly, impoverished and medically needy. We coordinate and deliver comprehensive, cost effective services including nursing, physical therapy, occupational therapy, speech therapy, social work and home health aide care. In addition, we are committed to promoting community health through education and special programs.",,8,7,104,41,0,0,23224,,45228,5813823,5672341,37792,24793,0,0,5874839,5742362,0,0,0,0,4222149,4716364,0,0,0,1771509,,1790523,5993658,6506887,-118819,-764525,1496666,2242058,1957145,2228493,-460479,13565,"EIN-04-2104310"
201531499349300218,"https://s3.amazonaws.com/irs-form-990/201531499349300218_public.xml","2013v4.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2013,"ADVANCEMENT OF THE ARTS.",,22,22,38,200,0,0,245975,,285610,343366,318375,3111,758,8759,18295,601211,623038,0,0,0,0,323179,349613,0,0,48235,308691,,302403,631870,652016,-30659,-28978,968963,937596,90929,78240,878034,859356,"EIN-04-2259692"
